AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
-36,173,22,578,-493,2565,-25,40,20,983,-376,1656,-30,-20,-2,579,-257,1235,-25,-44,-4,335,-164,892,-23,-62,-2,329,-128,863,-20,-112,-10,-34,6,-249,-20,-93,-14,-487,130,-724,-14,-51,1,-455,199,-996,-13,-12,6,-452,221,-1167,-7,39,4,-579,252,-1033,4,67,7,-455,218,-798,11,69,4,-222,106,-542,19,76,-5,-118,2,-64,24,72,-1,57,-82,161,21,44,-7,162,-123,540,16,29,-5,333,-123,383,8,16,-3,292,-89,535,4,-8,-1,261,-50,501,1,-25,-8,138,-2,361,2,-23,-3,108,8,197,0,-20,-4,36,1,79,3,-6,-1,35,4,-53,2,-3,-1,-52,2,-28,0,2,1,-4,-3,-59,-2,3,0,-23,-9,-23,0,3,0,11,-4,-26,0,0,0,-11,0,29,-1,0,1,30,-7,-14,1,0,0,14,-4,9,2,1,0,3,-7,-14,up
-37,158,6,402,245,651,-23,68,39,711,76,721,-19,41,17,348,-31,882,-6,32,15,436,-77,885,-10,-4,8,405,-113,764,-3,-68,0,280,-159,542,-2,-72,-16,67,-120,440,-9,-125,-9,61,-91,-98,-20,-118,-13,-336,37,-609,-17,-67,-2,-436,116,-1024,-22,-29,4,-476,139,-922,-21,-6,10,-534,134,-1106,-12,58,6,-483,180,-941,-4,56,6,-290,142,-617,5,57,4,-199,111,-299,20,66,2,-15,81,-122,20,46,-6,-64,41,38,29,53,-3,24,13,158,29,49,1,124,-64,208,19,25,-11,148,-56,279,15,20,-5,116,-89,484,10,16,-1,258,-66,416,4,-7,-1,227,-64,395,0,-15,-6,185,-36,294,3,-14,0,89,-46,254,0,-23,-3,42,-11,137,3,-13,-2,-15,-5,2,0,-6,-2,-33,-17,-34,0,0,0,-30,-4,-51,-2,3,1,-4,-3,-62,up
-32,157,9,810,-8,2500,-19,47,10,835,-81,1743,-17,-9,1,774,-77,1282,-13,-36,0,471,-67,1023,-11,-58,0,337,-51,978,-15,-131,0,20,-38,-22,-12,-124,-1,-339,16,-746,-14,-68,8,-475,39,-946,-19,-38,8,-516,47,-1114,-18,10,7,-538,72,-1112,-4,66,5,-475,99,-1030,-2,76,2,-327,79,-664,10,71,-7,-168,87,-225,24,77,-6,-20,72,-27,24,58,-6,-20,25,222,21,45,-5,189,-2,291,21,40,-2,245,-13,312,13,15,0,147,-44,406,5,-1,0,113,-39,523,6,-5,0,237,-35,295,6,-11,-2,105,-57,298,4,-12,-2,104,-56,181,2,-14,-3,29,-41,140,2,-10,-3,48,-36,34,0,-6,-4,-19,-14,14,0,-1,-1,4,-2,-28,-1,0,-1,-25,6,-13,0,1,0,1,9,-26,-1,1,0,-3,8,-4,0,2,0,3,3,-3,up
-32,153,11,56,309,765,-21,72,16,383,82,774,-11,58,0,336,42,944,-6,28,3,486,3,964,-7,-5,0,527,-35,831,-2,-72,-2,429,-136,570,-1,-100,-4,307,-133,368,-22,-146,-3,36,-79,-208,-20,-125,-1,-489,9,-889,-22,-73,5,-635,90,-1098,-22,-13,7,-686,126,-1104,-19,32,7,-799,159,-1125,3,87,19,-570,86,-868,-5,76,-1,-295,31,-480,13,81,3,-91,-50,-85,13,47,-13,46,-22,27,24,56,-6,176,-33,117,19,30,-17,281,6,239,32,41,0,258,-16,241,15,6,-9,173,7,398,18,13,4,164,-18,443,6,-14,-5,152,-15,278,7,-6,-1,35,-38,411,-1,-15,-4,126,-22,182,1,-9,-2,27,-9,141,0,-7,-2,48,-16,22,0,-4,-2,2,-17,24,0,-2,0,26,0,-21,0,-1,0,0,-8,-6,0,-1,-1,-13,-6,-38,up
-84,-127,34,2300,-90,3653,-41,-121,17,840,-95,1736,-36,-148,18,312,-57,837,-27,-105,16,68,2,129,-25,-74,14,32,-5,513,-17,-39,5,-508,16,-971,-15,-2,9,-452,19,-958,-11,45,-1,-372,46,-1075,-4,53,-2,-351,60,-866,5,68,-7,-514,65,-277,18,73,4,39,11,-149,18,46,-20,-118,72,21,34,66,-1,116,32,63,24,43,-12,147,-13,531,21,26,0,497,-49,192,13,-2,-13,-10,17,591,11,10,10,267,-45,271,-3,-22,-4,82,-38,505,1,-12,5,179,-43,162,-1,-22,-5,2,-11,182,2,-8,0,28,-16,-2,1,-6,-2,-23,1,33,1,-1,-1,-4,-1,-43,0,0,0,-22,2,7,0,1,0,-6,3,-28,0,1,0,-1,-8,17,0,1,0,1,1,-9,0,0,0,1,0,-7,0,1,0,-4,-4,11,0,0,0,3,-3,12,up
-53,-156,-5,2173,-222,3638,-42,-138,8,1019,-169,1425,-51,-163,14,372,-97,454,-40,-126,9,-7,10,-139,-35,-65,14,-10,38,549,-28,-27,15,-499,75,-988,-24,6,10,-584,91,-881,-1,64,4,-466,119,-846,4,71,1,-300,85,-466,18,53,-5,-268,60,-172,27,50,-11,-277,29,34,32,60,-6,59,-18,-19,22,36,-16,14,1,108,26,48,-4,176,-26,77,15,22,-9,229,-12,299,13,20,-1,286,-12,182,10,-3,-6,128,24,387,11,4,3,194,-52,318,3,-16,-3,145,-57,260,2,-11,1,57,-75,311,0,-14,-1,73,-41,80,0,-10,-1,-7,-22,121,0,-9,-1,29,-4,-19,0,-3,-2,-19,-7,-2,0,0,-1,-16,-9,-51,-1,2,0,-26,1,-20,-1,1,0,-5,0,-8,-1,1,0,-8,-1,1,0,1,0,-5,-3,-2,0,0,0,4,2,-4,up
-62,-150,45,2473,-482,3782,-34,-167,14,1317,-344,1234,-59,-189,-14,102,-56,339,-33,-103,11,-91,57,-260,-39,-66,10,-19,96,576,-27,-24,3,-734,182,-1162,-21,26,8,-960,212,-777,7,85,22,-572,80,-796,8,78,1,-174,-27,-547,25,63,-10,-229,-56,-34,31,70,-9,95,-61,68,28,48,-14,357,-38,236,20,41,-10,391,-40,110,13,10,-9,232,3,401,8,7,1,202,-37,343,5,-11,-2,151,-16,418,4,-4,0,63,-31,309,5,-13,-3,125,7,147,2,-7,-1,13,-13,176,2,-5,-1,52,2,35,0,-5,0,0,-8,50,1,-4,0,17,-8,14,0,-2,0,-1,-16,13,0,0,0,-1,-7,-12,0,0,0,-1,-5,-19,-1,0,0,-4,4,5,-1,0,0,-4,10,-13,0,0,0,-7,9,-12,0,0,0,2,2,-10,0,0,0,-2,-1,-7,up
-54,144,24,1307,5,2971,-30,38,14,1201,2,1915,-25,-30,14,940,-79,1245,-23,-71,6,427,-88,848,-22,-77,7,140,-37,919,-15,-111,5,-190,-25,-257,-18,-89,3,-480,-12,-844,-21,-51,4,-599,57,-920,-19,-4,9,-454,93,-882,-13,25,6,-329,90,-1007,-6,38,1,-380,106,-713,5,48,1,-460,66,-366,13,65,-2,-114,22,-238,20,59,-6,-67,-4,-65,20,56,-4,53,-27,48,18,45,-7,173,-28,255,19,34,-4,402,-20,4,18,11,-10,36,2,381,16,13,-2,150,-2,313,13,-1,-5,99,-14,306,14,1,0,123,-46,197,6,-7,-3,55,-28,304,6,-6,1,114,-40,164,1,-11,-2,33,-14,123,2,-3,-1,41,-10,72,1,-2,-2,16,-3,25,0,-2,-1,1,0,27,-1,-1,0,0,7,13,0,0,-1,5,1,-18,0,0,0,-6,1,4,up
-129,-379,34,1809,-478,2120,-88,-236,20,100,-113,450,-52,-125,18,4,45,-350,-44,-81,14,-90,77,-483,-36,-49,10,-278,57,264,-4,45,5,-690,130,-717,10,70,2,-276,95,-899,16,72,0,-158,31,-447,21,67,-7,-145,-6,-11,29,59,-3,91,-7,90,25,39,-10,206,13,101,21,35,-5,163,-14,270,14,13,-5,101,-26,416,12,6,0,214,-37,391,5,-6,-3,183,-36,317,4,-6,1,137,-48,288,2,-10,0,72,-33,212,0,-12,-1,58,-24,107,0,-9,-2,7,-18,58,0,-3,-1,9,-14,8,0,-2,-1,-7,1,7,0,0,-1,0,-3,-15,-1,0,0,-3,-6,3,0,0,0,-1,3,1,0,0,0,-7,0,-17,0,0,0,1,0,5,0,0,0,3,1,3,0,0,0,0,-2,1,0,-1,0,2,-3,-11,0,-1,0,0,6,-1,up
-74,-156,30,2494,-609,3393,-39,-145,9,1083,-390,1308,-54,-167,0,228,-158,407,-39,-115,2,16,7,-196,-34,-68,5,-48,94,456,-18,-25,1,-741,234,-976,-15,21,6,-728,263,-870,8,75,12,-404,215,-910,13,82,6,-264,111,-468,19,74,4,-113,-18,-25,21,57,0,13,-43,99,23,47,-2,211,-68,141,17,29,-7,103,-87,321,15,23,0,288,-100,210,12,-3,-7,114,-56,433,10,5,0,227,-55,163,6,-9,-4,62,-37,389,7,-2,0,174,-31,43,2,-14,-6,-54,-17,244,2,-1,0,58,-23,51,0,-7,-3,2,-16,77,1,0,0,28,-3,-19,-1,-3,-2,-24,-6,41,0,1,0,29,-6,-24,0,0,-1,-5,-5,6,0,0,0,-1,-1,-3,-1,0,0,-2,2,10,0,1,0,6,-1,-17,0,0,-1,-1,5,9,0,0,0,0,9,-21,up
